word	polarity	subjectivity
edicio	0	-0.26
edicion	0.32	0.11
edicione	0	-0.09
ediciones	0.08	-0.39
edicios	0	-0.09
edició	0	-0.17
edición	0.13	-5
edidicio	0	-0.09
edie	0	-0.09
edif	-0.17	-5
edifcio	-0.08	0.01
edifcios	0	-0.34
edific	0	-1.12
edificacion	-0.08	0.01
edificacione	0	-0.09
edificaciones	0.05	-1.16
edificación	0	-0.17
edificados	0.08	0.06
edificar	0	-0.09
edifici	-0.08	-2.8
edificio	-5	-5
edificio//	0	-0.17
edificiode	0	-0.09
edificioes	0	-0.09
edificion	0	-0.34
edificiones	0	-0.17
edificiop	0	-0.09
edificios	-3.1	-5
edificios(chile	0	-0.09
edifico	-0.08	-2.28
edifico//	0	-0.09
edificos	0	-0.43
edifics	0	-0.09
edifio	0	-0.26
edifioc	0	-0.09
edifionse	-0.08	0.06
edifique	-0.08	0.06
edifisios	-0.08	0.06
edifoicio	0	-0.09
edifucios	0	-0.09
edifício	0	-1.21
edil	0	-0.34
edilenia	0.08	0.06
edileniatactuk	0.08	0.06
ediles	0	-0.26
edilia	0	-0.34
edilson	0	-0.26
edina	0	-0.09
edinso	0	-0.17
edinson	0	-0.26
edio	0	-0.17
ediondita	0.08	0.06
ediondito	0	-0.09
ediondo	0	-0.17
ediotar	0	-0.09
edir	0	-0.26
edison	-0.02	-0.86
edisonabogados@hotmail.com	0.08	0.06
edisonduran	0	-0.09
edisur	0	-0.09
edit	0	-0.34
edita	0.02	0.15
editabl	0	-0.09
editable	0	-0.34
editad	0	-0.09
editada	0	-0.43
editadas	0	-0.17
editado	0	-0.09
edital	0	-0.52
editala	-0.08	0.06
editan	-0.08	0.06
editand	0	-0.09
editando	-0.08	-0.39
editar	-0.27	0.84
editare	0	-0.09
editas	0	-0.09
editaste	-0.08	0.06
edited	0	-0.09
editen	0	-0.09
edith	0.32	0.09
edith_maria	-0.08	0.06
editing	0	-0.26
edition	0	-0.78
edito	0.16	0.07
editon	0	-0.09
editor	-0.04	0.05
editora	0.16	0.08
editorales	0	-0.09
editore	0	-0.09
editores	0	-0.86
editoria	0.08	0.02
editorial	-0.1	-0.21
editoriale	0	-0.09
editoriales	0	-0.26
editorialtelevisa	0.24	0.18
editors	0	-0.09
editá	0	-0.09
edité	-0.08	0.06
editó	0.08	0.05
ediu00e7u00e3o	0	-0.34
ediu00e7u00f5es	0	-0.17
edizon	0	-0.09
edl	-0.08	0.05
edmar	0	-0.09
edmonton	0	-0.09
edmosa	-0.08	0.06
edmundo	-0.02	-5
edn	0	-0.09
edna	0	-0.26
edni	0.08	0.06
ednita	0	-0.09
edo	0.27	-1.01
edo-yaracuy	0.08	0.06
edoitorial	0	-0.17
edomex	0	-0.09
edoramtej@gmail.com	0	-0.09
edowo	0	-0.09
edp	0	-0.09
edredo	-0.08	0.05
edredon	-0.08	0.02
edredon/cobertor	0	-0.09
edro	0	-0.09
edson	0.08	-0.13
edspierte	0	-0.09
edstoy	0	-0.09
edtacionamientos	0	-0.09
edu	0.24	-1.41
eduacacion	0	-0.17
eduación	0	-0.17
eduadro	0	-0.09
eduard	0.08	-0.39
eduardo	1.84	-5
eduardo.bulau@lewlaratbwa.com.br	0	-0.09
eduardosurita	0	-0.09
eduardotejada	0.08	0.06
eduars	0	-0.69
edublogger	0	-0.09
educ	0	-0.43
educ.ar	0	-0.09
educa	-0.08	0.05
educa&ccedil	0	-0.34
educaca	0	-0.09
educacao	0	-0.09
educacaofisica	0	-0.09
educacin	0	-0.09
educacio	0	-0.26
educacion	-0.21	-0.85
educacionais	0	-0.17
educacional	0	-0.26
educacionales	0	-1.64
educaciu00c3u00b3n	0	-0.09
educació	0.08	-0.39
educaciómyen	0	-0.09
educación	0.32	-5
educación\	0	-0.09
educad	0	-0.43
educada	-0.08	0
educadament	0	-0.09
educado	0.16	0.11
educador	0	-0.09
educadora	0	-0.26
educadoras	0	-0.17
educadores	0	-0.26
educados	0.08	0.03
educaiu00f2n	-0.08	0.06
educan	0	-0.09
educando	0	-0.09
educar	0	-0.17
educarchile	0	-0.17
educarede	0	-0.09
educat	0	-0.09
education	0	-0.26
educativa	0	-0.69
educativo	0	-1.98
educativo(t	0	-0.17
educativos	0	-0.17
educau00c7u00c3o	0	-0.17
educau00e7u00e3o	0	-0.78
educau00e7u00e3o-cadernos	0	-0.09
educau00e7u00f5	0	-0.09
educo	0	-0.09
edueardo	0	-0.09
edueo	0	-0.09
edulia	0.08	0.04
eduradar	0	-0.09
edurado	0	-0.09
eduradosurita	0	-0.09
eduvb	0	-0.09
eduviges	0	-0.26
eduvina	0.08	-0.04
edvacuar	0	-0.09
edvard	0	-0.09
edw	0	-0.09
edwar	0	-0.09
edward	-0.15	0.31
edwardeza	0.08	0.06
edwards	-0.16	-5
edwards(lota	0	-0.09
edwards/citi	0	-0.09
edwars	0	-0.09
edwin	-0.16	0.04
edwrds	0	-0.09
edwujhdahad	0	-0.09
edy	0.16	0.09
edílson	0	-0.09
ef	0	-0.26
efc	0	-0.09
efdificio	0	-0.09
efe	-0.02	-4.82
efe)	0	-0.09
efec	-0.08	0.06
efect	0	-0.34
efectadas	0	-0.17
efectados	0	-1.03
efectes	0	-0.17
efectibamente	0	-0.09
efectismo	0	-0.09
efectista	0	-0.09
efectiv	0.08	-0.99
efectiva	0.16	-1.03
efectiva%	0	-0.17
efectivamena	0	-0.17
efectivament	0	-0.52
efectivamente	0.86	-1.13
efectivamentge	0	-0.09
efectivas	0	-0.26
efectividad	0	-0.6
efectivización	0	-0.09
efectivo	0.41	1.89
efectivos	-0.12	-5
efecto	-0.8	-5
efectonan	0	-0.09
efectos	0.54	-5
efects	0	-0.09
efectua	-0.16	0.1
efectuada	0	-0.09
efectuado	0	-0.09
efectuados	0	-0.09
efectuamos	0	-0.09
efectuando	0	-0.26
efectuar	0.08	-0.39
efectuara	0	-0.09
efectuaran	0	-0.17
efectuaro	0	-0.09
efectuarse	0	-0.09
efectuará	0	-0.09
efectuarán	0.08	-0.56
efectuo	-0.08	0.06
efectuén	0	-0.09
efectúa	0	-0.17
efectúe	0	-0.69
efectúen	0.08	0.06
efecvtivo	0	-1.29
efeito	0	-0.6
efeitos	0	-0.09
efemerides	0	-0.17
efemérides	0	-0.26
eferio	0	-0.09
efesio	0	-0.09
efesios	0	-0.09
efeso	0	-0.09
efetcivos	0	-0.17
efetuados	0	-0.09
efeu201c	0	-0.09
efeverde	0	-0.09
eff	0	-0.09
effect	0.32	0.22
effectos	0	-0.09
effects	0	-0.17
efficiency	0	-0.09
effor	0.08	0.06
effy	-0.16	0.1
efica	0	-0.09
eficaces	0	-0.09
eficacia	0.08	-0.39
eficaz	0.65	0.41
eficienci	0	-0.17
eficiencia	-0.02	0.01
eficient	0	-0.26
eficiente	-0.12	0.03
eficientemente	0.08	0.05
eficientes	0	-1.12
eficiu00eancia	0	-0.09
efidicio	0	-0.09
efigenia	0	-0.09
efra	0	-0.09
efraim	0	-0.26
efrain	0.08	0.01
efrain_ra	0	-0.09
efraín	0.08	0.03
efron	0.24	0.09
efron\	0	-0.09
efrén	2.1	1.59
efstival	0	-0.09
efusiva	0.08	0.06
efusividad	0	-0.09
efésio	0	-0.09
efímero	0	-0.17
efímero-	0	-0.09
eg	0	-0.09
ega	0	-0.17
egar	0	-0.09
egas	0	-0.09
egañ	0	-0.34
egaña	0.29	0.1
egaña/germania	0	-0.17
egda	0	-0.09
egemen	0	-0.09
egente	0.08	0.06
egeo	0	-0.09
egesto	0	-0.09
eggp	0	-0.09
egidia	0	-0.43
egion	0	-0.09
egipciana	0	-0.09
egipcio	0.08	0.03
egipcios	0.08	0.06
egipicia	0	-0.09
egipt	0	-0.09
egipto	0.08	0
egiptologo	0	-0.09
egito	0	-0.26
egla	0	-0.09
eglantina	0	-0.17
egli	0	-0.09
eglo	0	-0.09
egn	0	-0.09
egna	0	-0.09
egnen	0	-2.93
egnte	0	-0.09
ego	0.21	0.56
ego-beyonce	0	-0.09
ego\	0	-0.09
egocentric	0	-0.09
egocentrico	-0.02	0.1
egocu00eantricos	0	-0.09
egocéntrica	0	-0.09
egocéntrico	0	-0.17
egocéntricos	0	-0.09
egoego	0.08	0.06
egoism	0	-0.09
egoismo	0	-0.17
egoist	-0.08	0.06
egoista	-0.67	0.61
egoistas	-1.19	0.96
egoistas/como	-0.08	0.06
egolatra	0	-0.17
egolatría	0	-0.09
egon	0	-0.09
egos	0	-0.34
egosista	0.08	0.06
egoton	0	-0.17
egoísmo	0	-0.34
egoíst	0	-0.26
egoísta	-0.02	0.08
egoístamente	0.08	0.06
egoístas	0	-0.17
egoísticamente	0	-0.09
egresado	0	-0.26
egresados	0.08	-0.64
egu	0	-0.17
egua	0	-0.09
egue	0	-0.09
eguinha	0	-0.09
egundo	0	-0.09
egunon	0.08	0.06
egura	-0.16	0.12
eguro	0	-0.09
egusta	0	-0.09
egylf	0	-0.52
eh	2.92	5
eh(	0.08	0.05
eh\	0	-0.09
ehaga	0	-0.09
ehauaehaeuhea	0	-0.09
ehauheaueaea	0	-0.09
ehauheu	0	-0.09
ehcando	-0.08	0.06
ehehe	-0.08	0.05
eheheh	0	-0.17
ehehehe	0	-0.09
eheheheh	0	-0.17
ehehja	0	-0.09
ehem	0	-0.09
ehf	0	-0.09
ehh	-0.03	0.47
ehhh	0.49	0.37
ehhrt	0.08	0.06
ehi	0	-0.09
ehicieron	0.08	0.06
ehijos	0	-0.09
ehioieoieo	0	-0.09
ehm	0	-0.6
ehmm	0	-0.09
ehmmm	0.08	0.06
ehorman	0	-0.09
ehrman-	0	-0.09
ehrmosa	0	-0.09
ehuehueheuhue	0	-0.09
ehuehuehue	0	-0.09
ehueue	0	-0.09
ehuheuhuehuehuehueh	0	-0.09
ehui	0	-0.09
ehuiehuioehieo	-0.08	0.06
ehumberto	0	-0.09
ehwghuiewhew	0	-0.26
ehécatl	0	-0.09
ei	0.73	0.3
eia	-0.16	0.11
eiageaeuiagueiae	0	-0.09
eias	-0.08	0.06
eiba	0	-0.09
eichman	0	-0.09
eico	0.08	0.06
eictv	0	-0.09
eid	0	-0.09
eificio	0	-0.09
eifonso	0	-0.09
eihn	0	-0.09
eilen	-0.08	0.03
eim	0	-0.26
eimagenes	0	-0.09
ein	0.21	-0.63
einaud	0	-0.09
eindh	0	-0.17
einformacion	0	-0.09
eing	0.08	0.06
einstein	-0.08	0
einsten	0	-0.09
eio	0	-0.09
eios	-0.18	0.24
eiowiewoeiow	-0.08	0.06
eir	0.08	0.06
eirene	0	-0.09
eis	0	-0.6
eiserman	0	-0.43
eisermann	0	-0.52
eisler	0	-0.09
eismann	0	-1.21
eisner	0	-0.09
eison	0	-0.17
eit	0	-0.26
eita	-0.08	-0.64
eitb	0	-0.26
eiuaheaiueiueahe	0	-0.09
eiueiueiueiue	0	-0.09
eiz	0	-0.09
eizaguirre	0.24	0.18
ej	-0.73	0.17
eja	0	-0.09
ejal	0	-0.09
ejale	0.49	0.31
ejaleojaoajo	0	-0.09
ejalé	0.16	0.1
eje	-1.4	-5
eje-zeta	0	-0.09
eje\	0	-0.09
ejec	0	-0.09
ejecito	0	-0.09
ejection	0	-0.09
ejectuvos	-0.08	0.06
ejecuciones	0	-0.34
ejecució	0	-0.09
ejecución	-0.08	-0.13
ejecutado	0	-0.09
ejecutados	0	-0.34
ejecutan	0	-0.17
ejecutando	0.16	0.11
ejecutar	-0.08	0.01
ejecutarla	0.08	0.06
ejecutaron	0	-0.17
ejecutaría	-0.08	0.06
ejecuten	0	-0.26
ejecuti	0	-0.09
ejecutiv	0	-0.43
ejecutiva	0	-0.26
ejecutivas	-0.08	0.06
ejecutivo	-0.08	-2.8
ejecutivo\	0	-0.09
ejecutivort	0	-0.09
ejecutivos	-0.1	0.01
ejecutores	0	-0.09
ejedelatierra	0	-0.09
ejej	0	-0.09
ejeje	-0.02	0.12
ejejeje	0.08	0.05
ejejejejeje	-0.08	0.06
ejejejejejej	0	-0.09
ejele	0	-0.09
ejem	0	-0.09
ejemol	0	-0.09
ejemp	0	-0.09
ejempl	0	-0.95
ejemplar	0	-0.69
ejemplares	0	-0.17
ejemplifica	0	-0.09
ejemplificadore	0	-0.09
ejemplificante	0	-0.09
ejemplo	2.31	0.96
ejemplo-	0	-0.43
ejemplor	0	-0.09
ejemplos	0.19	0.29
ejemu2026	0	-0.09
ejercen	0	-0.09
ejercer	0.08	0.03
ejercici	0	-0.17
ejercicio	0.46	0.34
ejercicios	0	-0.69
ejercio	0.08	0.06
ejercit	0	-1.98
ejercitarlo	0.08	0.06
ejercitarse	0	-0.09
ejercito	-0.7	0.4
ejercito/armad	0	-0.09
ejercito_chil	0	-0.09
ejercito_chile	0.08	-1.25
ejercitos	0	-0.09
ejerció	0	-0.09
ejerctio	0	-0.09
ejerza	0.08	0.06
ejerzan	0	-0.09
ejes	0	-0.17
ejgraterol@hotmail.com	0	-0.09
ejidal	0	-0.09
ejido	-0.02	0.12
ejje	0.08	0.05
ejjej	0.08	0.06
ejjeje	0.08	0.03
ejjejej	0.08	0.06
ejm	-0.08	0.06
ejmp	0	-0.09
ejmpl	0.16	0.12
ejmplo	0	-0.17
ejner69	0	-0.09
ejo	0	-0.09
ejoe	0	-0.09
ejonas	0.24	0.18
ejopeaj	0	-0.09
ejp	0	-0.09
eju00e8rci	0	-0.26
eju00e8rcit	0	-0.09
eju00e8rcito	-0.16	-1.63
ejup	0	-0.09
ej¿	0	-0.09
ejécito	0.16	0.12
ejércit	0	-4.83
ejército	-5	5
ejército/a	0	-0.09
ejércitos	0	-0.09
ek	-0.1	0.14
ek2	0	-0.09
ek3	0	-0.09
ekagan	0	-0.09
ekatombe	0	-0.09
ekeyboard	0	-0.09
ekilibra	0	-0.09
ekipo	0.24	0.13
ekleyen	0	-0.09
ekon	0	-0.09
ekono	0.08	-5
ekonos	0	-0.6
eksistenciu0101las	0	-0.09
el	-5	5
el-	0	-0.09
el/ella	0	-0.09
el/la	0.16	0.05
el/lo	0	-0.17
el13	0	-0.17
el14	0	-0.69
el\	0	-0.26
el\no	-0.08	0.06
el_marmota_	0	-0.09
el_noticiero	0	-0.09
el_universal_mx	0	-0.34
el`presidente	0	-0.09
ela	-1.15	-5
ela(e	0.08	0.06
ela(ll	0	-0.09
ela-porque	0	-0.09
ela/ele	0	-0.09
elabora	0	-0.17
elaboración	0	-1.55
elaborada	0.08	0.06
elaboradas	0	-0.6
elaborado	0	-0.43
elaborados	0	-0.09
elaboran	0	-0.17
elaborando	0.08	0.03
elaborar	0	-0.09
elaboraro	0	-0.09
elaborará	0	-0.17
elabore	0	-0.09
elaboren	0	-0.09
elac/inpe	0	-0.09
elada	0	-0.09
eladio	0	-1.98
eladios	0.08	0.06
elagrimensor	0	-0.09
elagua	-0.08	0.06
elaine	0	-0.17
elaiu00e	0	-0.09
elaiá	0	-0.09
elal	0	-0.17
elale	0	-0.17
elalexgoncalves	0.08	0.06
elamaule.cl:	0	-0.78
elan	0	-0.09
elanao	0	-0.09
elano	0	-0.09
elante	0.24	0.16
elaporte.es	0	-0.09
elarrecifeño	0	-0.09
elas	-0.04	-5
elastic	0	-0.09
elasticidad	0	-0.09
elastico	0	-0.09
elasticos	0	-0.17
elauana	0	-0.09
elb	0	-0.09
elba	-0.02	-2.32
elba\	0	-0.09
elberg	0.16	0.12
elbio	0	-0.34
elbo	0	-0.09
elbrollo.com	0	-0.09
elc	-0.08	0.03
elcadaverexquisito@elcadaverexquisito.com	0	-0.09
elcano	0	-0.43
elccion	0	-0.09
elcentro	0	-0.09
elcentrodesantiagoestan	0	-0.17
elchuky	0	-0.09
elci	0	-0.09
elcira	-0.08	-5
elclarin	0	-0.17
elcomercio	0	-0.17
elcomercio.pe	0	-0.69
elcomercio.pe/	0	-0.09
elcomunicador	0	-0.09
elconfidencial	0	-0.09
elcongreso	0	-0.09
elcorreo	0	-0.26
elcrtico	0	-0.17
elctric	0	-0.09
elctrica	0	-0.09
elctricidad	0	-0.17
elctrico	0	-0.09
elctrogenos	0	-1.9
elcu	0	-0.09
elculo	0	-0.09
elda	0	-2.59
eldebate	0	-0.34
eldendo	0.08	0.05
elder	0	-0.26
elderes	0	-0.17
elderkin	0	-0.17
eldharan	0	-0.09
eldomingo	0	-0.09
eldorad	0	-0.09
eldorado	0	-0.52
eldredon	0	-0.09
ele	-2.61	-5
ele(meu	0	-0.09
eleanor	0	-0.26
eleazar	0	-0.52
elec	0	-0.34
elecci	0	-0.09
eleccion	-0.1	0.11
eleccionaria	-0.08	0.06
eleccione	0	-0.17
elecciones	-0.16	-2.75
elecciones.se	0	-0.17
eleccions	0	-0.09
elección	-0.02	0.02
elecgir	0	-0.09
elechego	0	-0.09
eleciones	-0.08	0.06
eleconomista.es	0	-0.17
elecricidad	-0.08	0.06
elect	0	-2.24
electa	0	-0.43
electeonica	0	-0.09
electicidad	0	-0.09
elections	0	-0.09
elective	0	-0.09
electivo	0.08	0.06
electo	-0.35	-5
electo\	0	-0.09
electora	0	-0.09
electorad	0	-0.09
electoral	0	-1.29
electores	0	-0.43
electr	0	-0.17
electra	0	-0.17
electrcida	0	-0.09
electreica	0	-0.09
electria	0	-0.17
electric	-0.16	-5
electric-hair	0	-0.09
electrica	-0.36	0.35
electricas	0.65	0.45
electricfel	0	-0.09
electriciada	-0.08	0.06
electricid	0	-0.09
electricida	0.02	-5
electricidad	1.54	3.93
electricidad\	0	-0.26
electricidady	-0.08	0.06
electricista	0	-0.09
electricista-gasfiter	0	-0.09
electricity	-0.16	0.11
electrico	-0.67	-3.94
electrico-necesito	0	-0.09
electrico\	0	-0.09
electricos	-0.08	-0.04
electridad	-0.08	0.05
electrificacion	0	-0.09
electrificar	0	-0.34
electriques	0	-0.09
electro	-0.08	-0.47
electro-jazz	0	-0.09
electro-maniacs.net	0	-0.26
electrocuto	0	-0.09
electrocutó	0	-0.09
electrodomestico	0	-0.09
electrodomesticos	-0.82	0.43
electrodomestics	-0.08	0.06
electrodomisticos	0	-0.09
electrodoméstic	0	-0.09
electrodoméstico	0	-0.26
electrodomésticos	-0.08	-0.73
electrogen	0	-3.97
electrogeno	0	-0.17
electrogenos	0	-0.69
electrogravedad	0	-0.09
electrohouse	0	-0.09
electroma	0	-0.09
electromagnetica	-0.08	0.06
electromagneticas	0	-0.09
electromagnetismo	0	-0.17
electronica	0.24	0.09
electronicas	-0.08	0
electronico	0	-0.34
electronicos	-0.08	0.03
electronics	0	-0.09
electroniko	0	-0.09
electrógen	0	-0.69
electrógeno	0	-0.09
electrógenos	0	-1.38
electrónic	0	-0.6
electrónica	0.24	0.01
electrónicas	0	-4.31
electrónicasrut	0	-0.09
electrónico	0.16	0.06
electrónicos	0	-0.69
eledendo	0	-0.17
eledith	0	-0.26
elefa-fa-nte	0	-0.09
elefanta	0	-0.09
elefante	-0.16	-0.17
elefantes	0.05	-0.98
elefantes/elenita	0	-0.09
elefantes\	0	-0.09
elefantillo	-0.08	0.05
elefonos	0	-1.03
eleganc	0	-0.26
eleganceu2026	0	-0.09
eleganci	0	-0.09
elegancia	0.08	0.02
eleganciau2665	0.08	0.06
elegant	0	-0.09
elegantamemte	0	-0.17
elegante	0.4	0.3
elegantes	0.08	0.04
elege	0	-0.09
elegemos	0	-0.09
elegend	0	-0.09
eleger	0	-0.17
elegi	-0.02	0.12
elegible	0.08	0.06
elegida	0.08	-0.04
elegido	0.08	0.02
elegidos	0	-0.09
elegimos	0	-0.09
elegir	0.19	0.25
elegira	0	-0.09
elegirá	0	-0.09
elegirán	-0.08	0.01
elegiría	0	-0.17
elegu00e2ncia	0	-0.09
elegí	0	-0.17
elegían	0	-0.09
elei	0	-0.09
eleicity	0	-0.09
eleiodoro	0	-0.09
eleita	0	-0.17
eleito	0	-0.43
eleitor	0	-0.43
eleitora	0	-0.09
eleitorais	0	-0.09
eleitoral	0	-0.17
eleitores	0	-0.17
eleitos	0	-0.09
eleiu00c7u00d5es	0	-0.09
eleiu00e7u00f5es	0	-3.1
elejercito	0	-0.09
elejidoz	0	-0.09
elejio	0	-0.09
elejirias\	0	-0.09
elejército	0	-0.09
elektr	0	-0.17
elektrika	0	-0.09
elel	0	-0.17
elelctricidad	0	-0.09
elelel	0	-0.09
elelu00ea	0	-0.09
elemana	0	-0.09
elementa	0	-0.09
elemental	0	-0.26
elementales	0	-0.09
elementar	0	-0.09
elementary	0	-0.09
elemento	0	-1.03
elementos	-0.15	0.11
elemntos	0	-0.09
elemontos	0	-0.09
elemtnos	0	-0.09
elen	0.08	-0.56
elena	0.64	-5
elena/costado	0	-0.09
elena_victori	0	-0.09
elenalepez	0	-0.09
elenamolina	0	-0.17
elenc	0	-0.09
elenco	0.29	0.06
elendo	0	-0.09
eleni	0.08	0.06
elenit	0	-0.09
elenita	0.08	-1.16
elenko	0.08	0.06
elenu00e3otámort	-0.08	0.06
eleodora	0	-0.17
eleodoro	-0.16	-0.17
eleonor	0	-0.09
eleonora	0	-0.09
elephant	0	-0.17
eles	0.53	-5
eles(l	0	-0.09
elesbao	0	-0.09
elesis	0	-0.09
elespectador.com	0	-0.26
eletectricidad	0	-0.09
eletiva	0	-0.09
eletrecidade	0	-0.09
eletrica	0	-0.34
eletricidad	-0.08	0.02
eletricidade	0	-0.34
eletrico	-0.08	0.05
eletrico\	0	-0.09
eletro	0	-0.17
eletro-eletronicos	0	-0.09
eletrobrá	0	-0.09
eletrobrás	0	-0.09
eletrondoméstico	0	-0.09
eletrone	0	-3.36
eletronet	0	-0.09
eletronic	0	-0.09
eletronica	0	-0.34
eletronicas	0	-0.26
eletronico	0	-0.09
eletroquímica	0	-0.09
eletru00f4nica	0	-0.86
eletru00f4nicas	0	-0.09
eletru00f4nico	0	-0.78
eletón	0	-0.09
eleuterio	-0.04	0.19
eleva	-0.39	-5
elevacion	0	-0.26
elevación	0	-0.86
elevad	0	-0.26
elevada	-0.16	0.08
elevado	0	-0.95
elevador	0.08	0.03
elevadora	0	-0.09
elevados	0	-0.34
elevamos	0	-0.09
elevan	-0.21	-5
elevan_a_708_la_cifra_de_muertos_en_chile	0	-0.09
elevando	0.16	0.09
elevar	0.13	0.19
elevaremos	0	-0.09
elevaron	0	-0.09
elevarse	0	-0.17
elevará	0	-0.09
elevarán	0	-0.09
elevaría	0	-0.86
elevator	0	-0.09
eleve	-0.08	0.05
elevemos	0.49	0.06
eleven	0	-0.34
elevir	0	-0.09
elevo	-0.08	-0.56
elevou	0	-0.09
elevu00f	0	-0.09
elevó	0	-5
elexterior	0	-0.09
elfa	0.08	0.06
elfadosventos	0	-0.09
elfaro.net	0	-0.09
elferrada	0	-0.78
elfman	0	-0.09
elfo	0	-0.09
elfondodelvaso	0	-0.09
elfos	0	-0.34
elga	0	-0.09
elgar	0	-0.26
elgobierno	0	-0.09
elgonzi.com:	0	-0.09
elguet	0	-0.69
elgueta	0.24	-3.22
elguien	0	-0.6
elgylf	0	-0.09
elgúna	0	-0.09
elhuáscar	0	-0.09
eli	0.02	-0.2
eli\	0	-0.17
elia	0	-2.67
eliacer	0	-0.17
elian	0.08	-0.3
eliana	3.32	-1.23
eliane	0	-3.71
elianunoz	0	-0.09
elias	-0.08	-5
eliaser	0	-0.09
eliastranamil	0	-0.09
eliazar	0	-0.17
elibanana	0	-0.09
eliberto	0	-0.09
elibobo	0	-0.09
elibobu00c3	0	-0.09
elibocó	0	-0.17
eliburro	0	-0.09
elicagu00e3o	0	-0.09
elicer	0.08	0.06
elichato	0	-0.09
elicoptero	-0.02	0.09
elicopteros	0	-0.09
elida	0	-0.09
elidaine	0	-0.09
elidia	0	-0.09
elidiota	0	-0.34
eliditota	0	-0.09
eliecer	-0.08	0.04
elieleso	0	-0.09
eliequasegay	0	-0.09
elierdo	0	-0.09
eliesado	0	-0.09
eliese	0	-2.67
elieser	-0.59	-5
elieser-o	0	-0.17
elieser[2	0	-0.09
elieserr	-0.08	0.06
elieses	0	-0.09
eliesér	0	-0.09
elieze	0	-0.09
eliezer	0	-1.29
eliezero	0	-0.09
elifeze	0	-0.09
eliga	0	-0.09
eligay	0	-0.26
elige	0.08	-0.64
eligen	0	-0.26
eliges	0.08	0.06
eligiendo	0.08	0.04
eligieron	-0.02	0.11
eligio	-0.02	0.11
eligió	0	-0.26
eligo	0.08	0.06
elija	0	-0.26
elijan	0.08	0.04
elijas	-0.08	0.06
elije	-0.08	0.04
elijieron	0	-0.09
elijo	0	-0.17
eliles	0	-0.09
elileso	0	-0.17
elimar	0	-0.09
elimina	0.16	0.04
elimina-lo	0.08	0.06
eliminaban	-0.08	0.06
eliminación	0	-0.17
eliminad	0	-0.43
eliminada	0	-1.21
eliminadas	0	-0.17
eliminado	0	-1.38
eliminados	0	-0.17
eliminalos	0	-0.09
eliminan	0	-0.09
eliminando	0.05	0.15
eliminar	-0.18	-3.95
eliminarem	0	-0.09
eliminarlo	0	-0.09
eliminaron	0	-0.09
eliminaros	0	-0.09
eliminas	0	-0.09
elimination	0	-0.09
eliminatoria	0	-0.17
eliminau00e7u00e3o	0	-0.26
elimine	0	-0.26
eliminen	-0.08	0.06
elimino	-0.08	0.02
eliminr	0	-0.09
eliminó	0	-0.26
elimnar	0	-0.09
elimostro	0	-0.09
elimparcial	0	-1.12
elimparcial.com	0	-0.17
elimpulsocom	0	-0.09
elin	0	-0.17
elinforme	0	-0.09
elingu00fciu00e7a	0	-0.09
elinmobiliario	0	-0.09
elinor	0	-0.69
elio	0	-0.34
eliodoro	0	-0.95
eliot	0	-0.09
eliott	0	-0.09
eliqsa	0	-0.26
elis	0	-1.03
elisa	-0.04	-4.39
elisa_eka	0	-0.09
elisabet	0	-0.09
elisabeth	-0.08	-1.07
elisalde	0	-0.17
elise	0	-0.34
eliseamos	0	-0.09
eliseo	0.08	-0.99
eliser	0	-0.43
eliseu	0	-0.6
eliskases\	0	-0.09
elit	0	-0.26
elite	0.16	0.02
elitebok	0	-0.17
eliteprincess	0	-0.09
elites	0	-0.09
elitico	0	-0.09
elitista	0	-0.26
elitistas	0	-0.09
elitonto	0	-0.17
elitwitter	0	-0.09
eliu00b4ser	0	-0.09
eliveloz	0	-0.09
eliz	0	-0.17
eliza	0	-0.34
elizabeh	0	-0.17
elizabeht	0	-0.09
elizabet	0	-0.6
elizabeth	-0.15	-5
elizabethordoñez	0	-0.09
elizabethordoñezmorales	0	-0.09
elizabethtown	0.08	0.05
elizabeyh	0	-0.09
elizald	0	-0.26
elizalde	-0.33	0.2
elizond	0	-1.72
elizondo	0.32	0.12
elizondo(mexicano	0.08	0.05
eliégay	-0.08	0.06
eliése	0	-4.31
eliéser	-0.33	-5
eliéser-broxa	0	-0.09
eliéserm	0	-0.09
eliésesr	0	-0.09
eliézer	-0.08	0.02
eljuegomasdificildelmundo	0	-0.09
ell	-3.19	0.53
ella	-5	5
ella\	0.08	0.06
ellame	0	-0.09
ellas	-3.12	3.5
ellas-	0	-0.09
ellasdios	0.08	0.06
ellasu00a1	0	-0.09
ellasu201d	0	-0.09
ellau00b4por	0	-0.26
ellau2665	0.16	0.12
ella¿	0	-0.09
elle	0	-1.38
ellefson	0	-0.09
ellen	0	-1.03
eller	0	-0.09
elleven	-0.08	0.05
elleza	0	-0.09
elli	0.08	0.06
ellic	0	-0.09
ellieser	0	-0.09
ellink	0	-0.09
elliot	0.08	-0.39
elliott	-0.08	-0.47
elliottyamin	0	-0.17
elll	0.08	0.06
ellla	-0.16	0.11
elllos	0	-0.34
ello	1.9	1.75
ellort	-0.08	0.06
ellos	-3.17	5
ellos(	0.08	0.06
ellos.no	-0.08	0.06
ellos//	0.32	0.24
ellos/suscribo	0	-0.17
ellospo	0	-0.09
elloss	0.08	0.06
ellosu2026	0	-0.09
ellosu2665	0	-0.52
ellosu2665u2665	0	-0.09
elloz	0	-0.09
ellq	0	-0.09
